Departure city,Arrival city,Aircraft type,Distance (km),Frequency (days/wk)
YYZ,AUH,789,11132,3
YYZ,AMS,333,5987,7
YYZ,ANU,320,3382,2
YYZ,AUA,320,3577,2
YYZ,ATH,789,8140,3
YYZ,ATL,E75,1193,7
YYZ,AUS,E75,2175,7
YYZ,BWI,CR9,540,7
YYZ,BCN,333,6424,4
YYZ,PEK,789,10613,7
YYZ,BDA,320,1806,3
YYZ,BOG,788,4370,3
YYZ,BOS,E75,697,7
YYZ,SRQ,319,1819,7
YYZ,BGI,320,3889,4
YYZ,BRU,788,6059,5
YYZ,BUD,763,7170,3
YYZ,YYC,321,2723,7
YYZ,CUN,321,2574,7
YYZ,CTG,321,3709,2
YYZ,CCC,321,2351,4
YYZ,CLT,E75,927,7
YYZ,YYG,320,1321,7
YYZ,ORD,E75,699,7
YYZ,CVG,CRJ,633,7
YYZ,CLE,CRJ,297,7
YYZ,CMH,CRJ,461,7
YYZ,CPH,333,6282,5
YYZ,CZM,319,2656,2
YYZ,CUR,319,3634,2
YYZ,DFW,E75,1957,7
YYZ,YDF,319,1810,7
YYZ,DEL,77W,11693,7
YYZ,DEN,319,2123,7
YYZ,DTW,CRJ,344,7
YYZ,DOH,789,10891,3
YYZ,DXB,789,11102,3
YYZ,DUB,789,5282,7
YYZ,RDU,CR9,889,7
YYZ,YEG,321,2708,7
YYZ,FLL,319,1934,7
YYZ,RSW,319,1911,7
YYZ,FRA,77W,6340,7
YYZ,YFC,319,1062,7
YYZ,GCM,320,2703,3
YYZ,GND,320,3895,1
YYZ,YHZ,319,1291,7
YYZ,BDL,DH3,608,7
YYZ,HAV,321,2285,4
YYZ,HKG,77L,12601,7
YYZ,IAH,E75,2083,7
YYZ,IST,77W,8222,6
YYZ,ZIH,319,3557,1
YYZ,MCI,CRJ,1342,7
YYZ,YLW,320,3091,7
YYZ,KIN,319,2890,5
YYZ,LAS,321,3139,7
YYZ,LIR,319,3720,4
YYZ,LIM,333,6172,5
YYZ,LIS,333,5759,4
YYZ,LHR,333,5735,7
YYZ,YXU,DH3,145,7
YYZ,LAX,789,3522,7
YYZ,MAD,333,6087,3
YYZ,MEM,CRJ,1279,7
YYZ,MEX,319,3256,7
YYZ,MIA,319,1997,7
YYZ,MKE,CRJ,671,6
YYZ,MSP,E75,1107,7
YYZ,YQM,319,1218,7
YYZ,MBJ,321,2800,5
YYZ,YUL,320,516,7
YYZ,MUC,333,6639,7
YYZ,BNA,CR9,1013,7
YYZ,NAS,319,2054,4
YYZ,MSY,CR9,1772,7
YYZ,LGA,320,586,7
YYZ,EWR,E75,550,7
YYZ,MCO,319,1693,7
YYZ,YOW,319,374,7
YYZ,PSP,319,3369,7
YYZ,PTY,319,3876,3
YYZ,CDG,789,6013,3
YYZ,PHL,E75,558,7
YYZ,PHX,321,3041,7
YYZ,PIT,CRJ,353,7
YYZ,POS,319,4069,1
YYZ,PLS,320,2533,4
YYZ,PVR,321,3504,4
YYZ,PUJ,321,2890,7
YYZ,YQB,321,726,7
YYZ,YQR,319,2040,7
YYZ,FCO,333,7106,5
YYZ,YSJ,DH4,1119,7
YYZ,UVF,320,3788,2
YYZ,SAN,321,3495,7
YYZ,SFO,789,3653,7
YYZ,SJD,319,3566,2
YYZ,SJO,333,3794,3
YYZ,SJU,321,3067,1
YYZ,SAL,320,3464,7
YYZ,SNU,319,2331,1
YYZ,SCL,789,8589,4
YYZ,GRU,789,8155,7
YYZ,YXE,319,2224,7
YYZ,YAM,DH3,503,7
YYZ,ICN,789,10690,7
YYZ,PVG,789,11476,7
YYZ,SKB,319,3328,1
YYZ,SVD,320,3790,1
YYZ,YYT,319,2136,7
YYZ,STL,CRJ,1064,7
YYZ,YSB,DH3,341,7
YYZ,TPA,319,1781,7
YYZ,TLV,789,9319,7
YYZ,YQT,CR9,929,7
YYZ,YTS,DH3,567,7
YYZ,HND,77W,10426,7
YYZ,YVR,789,3375,7
YYZ,VRA,320,2269,4
YYZ,YYJ,321,3396,7
YYZ,VIE,789,6935,7
YYZ,WAW,789,6932,7
YYZ,IAD,E75,567,7
YYZ,DCA,E75,580,7
YYZ,PBI,319,1893,7
YYZ,YQG,DH3,296,6
YYZ,YWG,320,1517,7
YYZ,ZRH,789,6496,7